Group,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
The Beatles,3365195.0,3666349.0,2185954.0,2057479.0,1925784.0,1793175.0,1665777.0,1535413.0,1408615.0,1331438.0,1279011.0,1230241.0,1174893.0,1127361.0,1078455.0,1026041.0,0.0,0.0,0.0,0.0,873644.0,859787.0,844895.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
Elvis Presley,1817866.0,1911239.0,1994915.0,2072763.0,2010783.0,1867479.0,1729808.0,1588930.0,1452362.0,1375892.0,1330365.0,1288015.0,1239952.0,1198676.0,1156208.0,1110693.0,1066992.0,1031274.0,1000851.0,0.0,936536.0,904447.0,869962.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
Simon & Garfunkel,1075457.0,1249646.0,1270457.0,741448.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
Bee Gees,889402.0,905038.0,862488.0,819007.0,784651.0,755886.0,728252.0,0.0,890333.0,915488.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
Barbra Streisand,681019.0,763475.0,846573.0,932746.0,1012509.0,963659.0,849725.0,739877.0,0.0,0.0,816837.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
Cher,499195.0,399396.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
The Doors,462743.0,630233.0,771179.0,786976.0,719671.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
Pink Floyd,425578.0,593955.0,744846.0,896932.0,1258469.0,1167853.0,918077.0,883435.0,848849.0,814705.0,0.0,1575959.0,1226827.0,1032882.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
Frank Sinatra,344703.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
Bob Dylan,265486.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
Neil Diamond,206206.0,481209.0,939845.0,0.0,0.0,0.0,777092.0,871898.0,918536.0,958660.0,903235.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
Santana,,369601.0,560416.0,701092.0,704321.0,629507.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
Led Zeppelin,,366423.0,960656.0,2310135.0,1676144.0,1507656.0,1419629.0,1329679.0,1239815.0,1151094.0,1058010.0,974125.0,0.0,0.0,888190.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
Billy Joel,,,434443.0,602141.0,665051.0,728399.0,789256.0,851531.0,912393.0,953718.0,985818.0,1015871.0,1049865.0,1079059.0,1106674.0,1096353.0,1065016.0,1034002.0,1004415.0,973205.0,940101.0,880298.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
The Carpenters,,,,460060.0,586336.0,705692.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
Eagles,,,,,838796.0,1093563.0,1212944.0,3081198.0,4124870.0,2812000.0,2197657.0,1838973.0,1563900.0,1327671.0,1091509.0,952370.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
Elton John,,,,,,1263401.0,2651999.0,1544869.0,986986.0,849356.0,950652.0,1044881.0,1149682.0,1220174.0,1283169.0,1350682.0,1416404.0,1481447.0,1538122.0,1510667.0,1431802.0,1353266.0,1268864.0,1194554.0,1121226.0,0.0,961374.0,0.0,1364388.0,2857790.0,1780977.0,0.0,,,,,,,,,,,,
ABBA,,,,,,,957657.0,809031.0,1135257.0,972259.0,1016068.0,1130019.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
Queen,,,,,,,,1526377.0,868665.0,0.0,0.0,909793.0,1618414.0,1825966.0,1371882.0,1080686.0,1073286.0,1195957.0,1312981.0,1429318.0,1432456.0,1370741.0,1304415.0,1244200.0,1163889.0,1062901.0,962904.0,0.0,,,,,,,,,,,,,,,,
Fleetwood Mac,,,,,,,,,,1193110.0,1303003.0,1145033.0,1074382.0,1038816.0,1014493.0,988426.0,0.0,0.0,909263.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
Michael Jackson,,,,,,,,,,,1181036.0,2963184.0,1958369.0,2366644.0,4388162.0,2924626.0,2485139.0,2050185.0,2203756.0,2382499.0,1789253.0,1590868.0,1449429.0,2435275.0,2224278.0,2093099.0,2001600.0,2575928.0,1387362.0,0.0,,,,,,,,,,,,,,
Prince,,,,,,,,,,,,,1037843.0,1167348.0,1227615.0,1453661.0,1073286.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
AC/DC,,,,,,,,,,,,,1412425.0,954374.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,954018.0,988451.0,1025417.0,1057388.0,0.0,979077.0,0.0,,,,,,,,,
Aerosmith,,,,,,,,,,,,,,,966306.0,1012458.0,1049115.0,982720.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
Phil Collins,,,,,,,,,,,,,,,,956868.0,1269506.0,1505038.0,1271755.0,1222994.0,1058929.0,964302.0,904159.0,851207.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
Madonna,,,,,,,,,,,,,,,,,2637792.0,1884202.0,1633456.0,1575976.0,1518260.0,1485453.0,3118866.0,1916042.0,1324064.0,1302595.0,1281337.0,1260041.0,1239221.0,1219058.0,1197411.0,1175073.0,1155338.0,1134824.0,1113693.0,1093137.0,1072021.0,0.0,,,,,,
Bruce Springsteen,,,,,,,,,,,,,,,,,1889362.0,1599364.0,1432232.0,1312827.0,1226389.0,1140312.0,1039773.0,843845.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
Dire Straits,,,,,,,,,,,,,,,,,1154017.0,1268078.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
Whitney Houston,,,,,,,,,,,,,,,,,,1340516.0,1152805.0,1393733.0,0.0,0.0,0.0,1304602.0,2380220.0,1698605.0,1635356.0,1571994.0,1510049.0,1450055.0,1385649.0,1320478.0,1274193.0,1231467.0,1187458.0,1144646.0,1097563.0,0.0,,,,,,
Bon Jovi,,,,,,,,,,,,,,,,,,,1231892.0,0.0,0.0,0.0,0.0,0.0,0.0,1158107.0,1315453.0,946142.0,0.0,,,,,,,,,,,,,,,
U2,,,,,,,,,,,,,,,,,,,,1205521.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
George Michael,,,,,,,,,,,,,,,,,,,,1098369.0,902120.0,848217.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
Guns N' Roses,,,,,,,,,,,,,,,,,,,,983573.0,0.0,0.0,993625.0,1157038.0,1306822.0,1257035.0,1085948.0,969457.0,0.0,,,,,,,,,,,,,,,
Metallica,,,,,,,,,,,,,,,,,,,,,1021286.0,988849.0,1160085.0,1708413.0,1352265.0,1238884.0,1184837.0,1130693.0,1076906.0,1014314.0,0.0,,,,,,,,,,,,,
Garth Brooks,,,,,,,,,,,,,,,,,,,,,,,855639.0,1229735.0,1471277.0,1656334.0,1828599.0,1842989.0,1775690.0,1710513.0,1642167.0,1595077.0,1563182.0,1530026.0,1495875.0,1462652.0,1428523.0,1393893.0,1360490.0,0.0,,,,
Nirvana,,,,,,,,,,,,,,,,,,,,,,,,1099421.0,1067314.0,1091860.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
Mariah Carey,,,,,,,,,,,,,,,,,,,,,,,,,1135609.0,1909716.0,1364295.0,2095445.0,1625358.0,1771555.0,1928509.0,2065998.0,1973449.0,1775125.0,1582996.0,1546554.0,1590299.0,1634686.0,1676824.0,1726081.0,1769392.0,0.0,,
Eric Clapton,,,,,,,,,,,,,,,,,,,,,,,,,897556.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
Celine Dion,,,,,,,,,,,,,,,,,,,,,,,,,,1561711.0,1004878.0,1498103.0,2973920.0,2023775.0,1914670.0,2051154.0,1519984.0,1372356.0,1230572.0,1101299.0,1089988.0,0.0,,,,,,
Backstreet Boys,,,,,,,,,,,,,,,,,,,,,,,,,,,,1344243.0,2428286.0,2691666.0,2193096.0,2573913.0,1353803.0,0.0,,,,,,,,,,
Shania Twain,,,,,,,,,,,,,,,,,,,,,,,,,,,,1379450.0,1512939.0,1487903.0,1069008.0,0.0,,,,,,,,,,,,
Eminem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1340400.0,1856849.0,2917614.0,3728336.0,3090227.0,3767339.0,3110720.0,3278652.0,3430766.0,3371819.0,3182727.0,2994937.0,2745710.0,3700691.0,2884490.0
Britney Spears,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1810986.0,1703267.0,1883324.0,1563047.0,1485157.0,1409385.0,1331546.0,1252565.0,0.0,,,,,
Jay-Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1064644.0,1212626.0,1366457.0,1524905.0,1679045.0,1827151.0,1837309.0,1780112.0,1713250.0,0.0,,,
Christina Aguilera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1424795.0,0.0,,,,,,,,,,,
Lil Wayne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1055627.0,1366457.0,1586898.0,1747304.0,1898524.0,1866378.0,1748480.0,0.0,,,,
Linkin Park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1589382.0,1253608.0,1180295.0,1108975.0,1035710.0,0.0,,,,,,
Maroon 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1063029.0,1190072.0,1320581.0,1453005.0,1576447.0,1688578.0,1764950.0,0.0,,
Rihanna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2152092.0,3351520.0,4820580.0,5834441.0,5864017.0,5455772.0,5052956.0
Coldplay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1417462.0,0.0,,,,,
Kanye West,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1331325.0,1523348.0,1758538.0,1954314.0,2189480.0,2483593.0,2777186.0
